"Date","bookings","pred","res"
2015-01-21,2.00237244594047,2.46548313368112,0.463110687740652
2015-01-22,2.00237244594047,2.4671850418672,0.46481259592673
2015-01-23,2.00237244594047,2.49025968555361,0.487887239613144
2015-01-24,1.95742328479059,2.51427629962564,0.55685301483505
2015-01-25,1.96174915276896,2.55082030408084,0.589071151311879
2015-01-26,2.01804165194711,2.59927344787866,0.581231795931548
2015-01-27,2.07300160402179,2.57359621115029,0.500594607128499
2015-01-28,2.13275692746484,2.55840984825045,0.425652920785608
2015-01-29,2.13275692746484,2.5518374023959,0.419080474931063
2015-01-30,2.13275692746484,2.54398871771991,0.411231790255072
2015-01-31,2.3033650482493,2.53147981595248,0.228114767703175
2015-02-01,2.29326207324755,2.47348854411393,0.180226470866379
2015-02-02,2.31735881614904,2.4622856574133,0.144926841264259
2015-02-03,2.30161582645499,2.53550383727998,0.233888010824987
2015-02-04,2.2350812254709,2.51697199139744,0.281890765926542
2015-02-05,2.2350812254709,2.53160871565342,0.296527490182521
2015-02-06,2.2350812254709,2.52536940760911,0.290288182138207
2015-02-07,2.32929260632432,2.51774016395211,0.188447557627793
2015-02-08,2.28195784742076,2.50249723158777,0.220539384167008
2015-02-09,2.2438960005453,2.50092769507319,0.257031694527883
2015-02-10,2.29753814051865,2.46461711172014,0.167078971201497
2015-02-11,2.23310972651603,2.35906063672155,0.12595091020552
2015-02-12,2.23310972651603,2.41837710235268,0.185267375836647
2015-02-13,2.23310972651603,2.40470329206437,0.171593565548337
2015-02-14,2.3007120466211,2.38292284402996,0.0822107974088593
2015-02-15,2.3553054465965,2.3580017760396,0.00269632944309661
2015-02-16,2.36166674664462,2.29258063063025,-0.0690861160143688
2015-02-17,2.48151633798866,2.27339749969542,-0.208118838293244
2015-02-18,2.46107775900515,2.25952801201493,-0.201549746990225
2015-02-19,2.46107775900515,2.28056022897363,-0.180517530031523
2015-02-20,2.46107775900515,2.24497797712684,-0.216099781878313
2015-02-21,2.39653072353216,2.20965197682381,-0.186878746708349
2015-02-22,2.44639436167511,2.17426354810596,-0.272130813569154
2015-02-23,2.38978388862455,2.13929984532297,-0.250484043301586
2015-02-24,2.36370729213738,2.06520690210164,-0.298500390035744
2015-02-25,2.44915189677688,1.99152970127761,-0.457622195499265
2015-02-26,2.44915189677688,1.92110713105649,-0.528044765720391
2015-02-27,2.44915189677688,1.93339784815907,-0.515754048617804
2015-02-28,2.49068931008863,1.9489902574569,-0.541699052631735
2015-03-01,2.60962419384251,1.99969880562276,-0.609925388219751
2015-03-02,2.67489081858321,1.9777738628909,-0.69711695569231
2015-03-03,2.58859800528529,1.98665080964565,-0.601947195639639
2015-03-04,2.57379300814264,1.98035668581724,-0.593436322325398
2015-03-05,2.57379300814264,1.95304960757494,-0.6207434005677
2015-03-06,2.57379300814264,1.93876447342336,-0.635028534719278
2015-03-07,2.54153814797692,1.92540403455496,-0.616134113421957
2015-03-08,2.56814807368919,1.9235285371542,-0.644619536534988
2015-03-09,2.48972717119415,1.9564717374742,-0.533255433719948
