date,index
3/22/2012,0.237584881
3/23/2012,0.231158437
3/24/2012,0.224731994
3/25/2012,0.218305551
3/26/2012,0.211879107
3/27/2012,0.205452664
3/28/2012,0.19902622
3/29/2012,0.192599777
3/30/2012,0.186173334
3/31/2012,0.17974689
4/1/2012,0.173320447
4/2/2012,0.183357613
4/3/2012,0.193394779
4/4/2012,0.203431946
4/5/2012,0.213469112
4/6/2012,0.223506278
4/7/2012,0.233543444
4/8/2012,0.243580611
4/9/2012,0.253617777
4/10/2012,0.263654943
4/11/2012,0.273692109
4/12/2012,0.283729276
4/13/2012,0.293766442
4/14/2012,0.303803608
4/15/2012,0.313840774
4/16/2012,0.323877941
4/17/2012,0.333915107
4/18/2012,0.343952273
4/19/2012,0.353989439
4/20/2012,0.364026606
4/21/2012,0.374063772
4/22/2012,0.384100938
4/23/2012,0.394138104
4/24/2012,0.404175271
4/25/2012,0.414212437
4/26/2012,0.424249603
4/27/2012,0.434286769
4/28/2012,0.444323936
4/29/2012,0.454361102
4/30/2012,0.464398268
5/1/2012,0.474435434
5/2/2012,0.469737172
5/3/2012,0.46503891
5/4/2012,0.460340648
5/5/2012,0.455642386
5/6/2012,0.450944124
5/7/2012,0.446245861
5/8/2012,0.441547599
5/9/2012,0.436849337
5/10/2012,0.432151075
5/11/2012,0.427452813
5/12/2012,0.422754551
5/13/2012,0.418056289
5/14/2012,0.413358026
5/15/2012,0.408659764
5/16/2012,0.403961502
5/17/2012,0.39926324
5/18/2012,0.394564978
5/19/2012,0.389866716
5/20/2012,0.385168453
5/21/2012,0.380470191
5/22/2012,0.375771929
5/23/2012,0.371073667
5/24/2012,0.366375405
5/25/2012,0.361677143
5/26/2012,0.35697888
5/27/2012,0.352280618
5/28/2012,0.347582356
5/29/2012,0.342884094
5/30/2012,0.338185832
5/31/2012,0.33348757
6/1/2012,0.328789307
6/2/2012,0.333906699
6/3/2012,0.339024091
6/4/2012,0.344141483
6/5/2012,0.349258875
6/6/2012,0.354376267
6/7/2012,0.359493659
6/8/2012,0.364611051
6/9/2012,0.369728443
6/10/2012,0.374845835
6/11/2012,0.379963227
6/12/2012,0.385080619
6/13/2012,0.39019801
6/14/2012,0.395315402
6/15/2012,0.400432794
6/16/2012,0.405550186
6/17/2012,0.410667578
6/18/2012,0.41578497
6/19/2012,0.420902362
6/20/2012,0.426019754
6/21/2012,0.431137146
6/22/2012,0.436254538
6/23/2012,0.44137193
6/24/2012,0.446489322
6/25/2012,0.451606713
6/26/2012,0.456724105
6/27/2012,0.461841497
6/28/2012,0.466958889
6/29/2012,0.472076281
6/30/2012,0.477193673
7/1/2012,0.482311065
7/2/2012,0.484823076
7/3/2012,0.487335086
7/4/2012,0.489847097
7/5/2012,0.492359108
7/6/2012,0.494871118
7/7/2012,0.497383129
7/8/2012,0.49989514
7/9/2012,0.50240715
7/10/2012,0.504919161
7/11/2012,0.507431172
7/12/2012,0.509943182
7/13/2012,0.512455193
7/14/2012,0.514967204
7/15/2012,0.517479214
7/16/2012,0.519991225
7/17/2012,0.522503236
7/18/2012,0.525015246
7/19/2012,0.527527257
7/20/2012,0.530039268
7/21/2012,0.532551278
7/22/2012,0.535063289
7/23/2012,0.537575299
7/24/2012,0.54008731
7/25/2012,0.542599321
7/26/2012,0.545111331
7/27/2012,0.547623342
7/28/2012,0.550135353
7/29/2012,0.552647363
7/30/2012,0.555159374
7/31/2012,0.557671385
8/1/2012,0.560183395
8/2/2012,0.546993495
8/3/2012,0.533803596
8/4/2012,0.520613696
8/5/2012,0.507423796
8/6/2012,0.494233896
8/7/2012,0.481043996
8/8/2012,0.467854096
8/9/2012,0.454664196
8/10/2012,0.441474296
8/11/2012,0.428284396
8/12/2012,0.415094496
8/13/2012,0.401904596
8/14/2012,0.388714696
8/15/2012,0.375524796
8/16/2012,0.362334896
8/17/2012,0.349144996
8/18/2012,0.335955096
8/19/2012,0.322765196
8/20/2012,0.309575296
8/21/2012,0.296385396
8/22/2012,0.283195497
8/23/2012,0.270005597
8/24/2012,0.256815697
8/25/2012,0.243625797
8/26/2012,0.230435897
8/27/2012,0.217245997
8/28/2012,0.204056097
8/29/2012,0.190866197
8/30/2012,0.177676297
8/31/2012,0.164486397
9/1/2012,0.151296497
9/2/2012,0.164000204
9/3/2012,0.176703911
9/4/2012,0.189407619
9/5/2012,0.202111326
9/6/2012,0.214815033
9/7/2012,0.22751874
9/8/2012,0.240222447
9/9/2012,0.252926155
9/10/2012,0.265629862
9/11/2012,0.278333569
9/12/2012,0.291037276
9/13/2012,0.303740983
9/14/2012,0.316444691
9/15/2012,0.329148398
9/16/2012,0.341852105
9/17/2012,0.354555812
9/18/2012,0.367259519
9/19/2012,0.379963227
9/20/2012,0.392666934
9/21/2012,0.405370641
9/22/2012,0.418074348
9/23/2012,0.430778055
9/24/2012,0.443481763
9/25/2012,0.45618547
9/26/2012,0.468889177
9/27/2012,0.481592884
9/28/2012,0.494296591
9/29/2012,0.507000299
9/30/2012,0.519704006
10/1/2012,0.532407713
10/2/2012,0.53019728
10/3/2012,0.527986848
10/4/2012,0.525776415
10/5/2012,0.523565983
10/6/2012,0.52135555
10/7/2012,0.519145118
10/8/2012,0.516934685
10/9/2012,0.514724253
10/10/2012,0.51251382
10/11/2012,0.510303388
10/12/2012,0.508092955
10/13/2012,0.505882523
10/14/2012,0.50367209
10/15/2012,0.501461658
10/16/2012,0.499251225
10/17/2012,0.497040793
10/18/2012,0.49483036
10/19/2012,0.492619928
10/20/2012,0.490409495
10/21/2012,0.488199063
10/22/2012,0.48598863
10/23/2012,0.483778198
10/24/2012,0.481567765
10/25/2012,0.479357333
10/26/2012,0.4771469
10/27/2012,0.474936468
10/28/2012,0.472726035
10/29/2012,0.470515603
10/30/2012,0.46830517
10/31/2012,0.466094738
11/1/2012,0.463884305
11/2/2012,0.468850911
11/3/2012,0.473817516
11/4/2012,0.478784121
11/5/2012,0.483750727
11/6/2012,0.488717332
11/7/2012,0.493683938
11/8/2012,0.498650543
11/9/2012,0.503617148
11/10/2012,0.508583754
11/11/2012,0.513550359
11/12/2012,0.518516964
11/13/2012,0.52348357
11/14/2012,0.528450175
11/15/2012,0.533416781
11/16/2012,0.538383386
11/17/2012,0.543349991
11/18/2012,0.548316597
11/19/2012,0.553283202
11/20/2012,0.558249807
11/21/2012,0.563216413
11/22/2012,0.568183018
11/23/2012,0.573149624
11/24/2012,0.578116229
11/25/2012,0.583082834
11/26/2012,0.58804944
11/27/2012,0.593016045
11/28/2012,0.597982651
11/29/2012,0.602949256
11/30/2012,0.607915861
12/1/2012,0.612882467
12/2/2012,0.617005784
12/3/2012,0.621129101
12/4/2012,0.625252418
12/5/2012,0.629375735
12/6/2012,0.633499052
12/7/2012,0.637622369
12/8/2012,0.641745686
12/9/2012,0.645869003
12/10/2012,0.64999232
12/11/2012,0.654115637
12/12/2012,0.658238954
12/13/2012,0.662362271
12/14/2012,0.666485588
12/15/2012,0.670608905
12/16/2012,0.674732222
12/17/2012,0.678855539
12/18/2012,0.682978856
12/19/2012,0.687102173
12/20/2012,0.69122549
12/21/2012,0.695348807
12/22/2012,0.699472124
12/23/2012,0.703595441
12/24/2012,0.707718758
12/25/2012,0.711842075
12/26/2012,0.715965392
12/27/2012,0.720088709
12/28/2012,0.724212026
12/29/2012,0.728335343
12/30/2012,0.73245866
12/31/2012,0.736581977
1/1/2013,0.740705294
1/2/2013,0.721322549
1/3/2013,0.701939803
1/4/2013,0.682557057
1/5/2013,0.663174312
1/6/2013,0.643791566
1/7/2013,0.62440882
1/8/2013,0.605026074
1/9/2013,0.585643329
1/10/2013,0.566260583
1/11/2013,0.546877837
1/12/2013,0.527495092
1/13/2013,0.508112346
1/14/2013,0.4887296
1/15/2013,0.469346854
1/16/2013,0.449964109
1/17/2013,0.430581363
1/18/2013,0.411198617
1/19/2013,0.391815872
1/20/2013,0.372433126
1/21/2013,0.35305038
1/22/2013,0.333667634
1/23/2013,0.314284889
1/24/2013,0.294902143
1/25/2013,0.275519397
1/26/2013,0.256136652
1/27/2013,0.236753906
1/28/2013,0.21737116
1/29/2013,0.197988414
1/30/2013,0.178605669
1/31/2013,0.159222923
2/1/2013,0.139840177
2/2/2013,0.151316281
2/3/2013,0.162792385
2/4/2013,0.174268489
2/5/2013,0.185744593
2/6/2013,0.197220697
2/7/2013,0.208696802
2/8/2013,0.220172906
2/9/2013,0.23164901
2/10/2013,0.243125114
2/11/2013,0.254601218
2/12/2013,0.266077322
2/13/2013,0.277553426
2/14/2013,0.28902953
2/15/2013,0.300505634
2/16/2013,0.311981738
2/17/2013,0.323457842
2/18/2013,0.334933946
2/19/2013,0.34641005
2/20/2013,0.357886154
2/21/2013,0.369362258
2/22/2013,0.380838362
2/23/2013,0.392314466
2/24/2013,0.40379057
2/25/2013,0.415266674
2/26/2013,0.426742778
2/27/2013,0.438218882
2/28/2013,0.449694986
3/1/2013,0.46117109
3/2/2013,0.453904395
3/3/2013,0.4466377
3/4/2013,0.439371005
3/5/2013,0.43210431
3/6/2013,0.424837615
3/7/2013,0.41757092
3/8/2013,0.410304224
3/9/2013,0.403037529
3/10/2013,0.395770834
3/11/2013,0.388504139
3/12/2013,0.381237444
3/13/2013,0.373970749
3/14/2013,0.366704053
3/15/2013,0.359437358
3/16/2013,0.352170663
3/17/2013,0.344903968
3/18/2013,0.337637273
3/19/2013,0.330370578
3/20/2013,0.323103882
3/21/2013,0.315837187
3/22/2013,0.308570492
3/23/2013,0.301303797
3/24/2013,0.294037102
3/25/2013,0.286770407
3/26/2013,0.279503712
3/27/2013,0.272237016
3/28/2013,0.264970321
3/29/2013,0.257703626
3/30/2013,0.250436931
3/31/2013,0.243170236
4/1/2013,0.235903541
4/2/2013,0.246899958
4/3/2013,0.257896375
4/4/2013,0.268892791
4/5/2013,0.279889208
4/6/2013,0.290885625
4/7/2013,0.301882042
4/8/2013,0.312878459
4/9/2013,0.323874876
4/10/2013,0.334871293
4/11/2013,0.34586771
4/12/2013,0.356864127
4/13/2013,0.367860544
4/14/2013,0.378856961
4/15/2013,0.389853378
4/16/2013,0.400849795
4/17/2013,0.411846212
4/18/2013,0.422842629
4/19/2013,0.433839046
4/20/2013,0.444835463
4/21/2013,0.45583188
4/22/2013,0.466828297
4/23/2013,0.477824714
4/24/2013,0.488821131
4/25/2013,0.499817547
4/26/2013,0.510813964
4/27/2013,0.521810381
4/28/2013,0.532806798
4/29/2013,0.543803215
4/30/2013,0.554799632
5/1/2013,0.565796049
5/2/2013,0.560415092
5/3/2013,0.555034135
5/4/2013,0.549653178
5/5/2013,0.54427222
5/6/2013,0.538891263
5/7/2013,0.533510306
5/8/2013,0.528129349
5/9/2013,0.522748391
5/10/2013,0.517367434
5/11/2013,0.511986477
5/12/2013,0.50660552
5/13/2013,0.501224562
5/14/2013,0.495843605
5/15/2013,0.490462648
5/16/2013,0.485081691
5/17/2013,0.479700733
5/18/2013,0.474319776
5/19/2013,0.468938819
5/20/2013,0.463557862
5/21/2013,0.458176905
5/22/2013,0.452795947
5/23/2013,0.44741499
5/24/2013,0.442034033
5/25/2013,0.436653076
5/26/2013,0.431272118
5/27/2013,0.425891161
5/28/2013,0.420510204
5/29/2013,0.415129247
5/30/2013,0.409748289
5/31/2013,0.404367332
6/1/2013,0.398986375
6/2/2013,0.40666816
6/3/2013,0.414349944
6/4/2013,0.422031729
6/5/2013,0.429713513
6/6/2013,0.437395298
6/7/2013,0.445077083
6/8/2013,0.452758867
6/9/2013,0.460440652
6/10/2013,0.468122436
6/11/2013,0.475804221
6/12/2013,0.483486006
6/13/2013,0.49116779
6/14/2013,0.498849575
6/15/2013,0.50653136
6/16/2013,0.514213144
6/17/2013,0.521894929
6/18/2013,0.529576713
6/19/2013,0.537258498
6/20/2013,0.544940283
6/21/2013,0.552622067
6/22/2013,0.560303852
6/23/2013,0.567985636
6/24/2013,0.575667421
6/25/2013,0.583349206
6/26/2013,0.59103099
6/27/2013,0.598712775
6/28/2013,0.606394559
6/29/2013,0.614076344
6/30/2013,0.621758129
7/1/2013,0.629439913
7/2/2013,0.627993235
7/3/2013,0.626546558
7/4/2013,0.62509988
7/5/2013,0.623653202
7/6/2013,0.622206524
7/7/2013,0.620759846
7/8/2013,0.619313168
7/9/2013,0.61786649
7/10/2013,0.616419813
7/11/2013,0.614973135
7/12/2013,0.613526457
7/13/2013,0.612079779
7/14/2013,0.610633101
7/15/2013,0.609186423
7/16/2013,0.607739746
7/17/2013,0.606293068
7/18/2013,0.60484639
7/19/2013,0.603399712
7/20/2013,0.601953034
7/21/2013,0.600506356
7/22/2013,0.599059678
7/23/2013,0.597613001
7/24/2013,0.596166323
7/25/2013,0.594719645
7/26/2013,0.593272967
7/27/2013,0.591826289
7/28/2013,0.590379611
7/29/2013,0.588932933
7/30/2013,0.587486256
7/31/2013,0.586039578
8/1/2013,0.5845929
8/2/2013,0.580235681
8/3/2013,0.575878462
8/4/2013,0.571521244
8/5/2013,0.567164025
8/6/2013,0.562806806
8/7/2013,0.558449587
8/8/2013,0.554092368
8/9/2013,0.54973515
8/10/2013,0.545377931
8/11/2013,0.541020712
8/12/2013,0.536663493
8/13/2013,0.532306274
8/14/2013,0.527949056
8/15/2013,0.523591837
8/16/2013,0.519234618
8/17/2013,0.514877399
8/18/2013,0.51052018
8/19/2013,0.506162962
8/20/2013,0.501805743
8/21/2013,0.497448524
8/22/2013,0.493091305
8/23/2013,0.488734087
8/24/2013,0.484376868
8/25/2013,0.480019649
8/26/2013,0.47566243
8/27/2013,0.471305211
8/28/2013,0.466947993
8/29/2013,0.462590774
8/30/2013,0.458233555
8/31/2013,0.453876336
9/1/2013,0.449519117
9/2/2013,0.456143039
9/3/2013,0.462766961
9/4/2013,0.469390882
9/5/2013,0.476014804
9/6/2013,0.482638725
9/7/2013,0.489262647
9/8/2013,0.495886568
9/9/2013,0.50251049
9/10/2013,0.509134411
9/11/2013,0.515758333
9/12/2013,0.522382254
9/13/2013,0.529006176
9/14/2013,0.535630098
9/15/2013,0.542254019
9/16/2013,0.548877941
9/17/2013,0.555501862
9/18/2013,0.562125784
9/19/2013,0.568749705
9/20/2013,0.575373627
9/21/2013,0.581997548
9/22/2013,0.58862147
9/23/2013,0.595245392
9/24/2013,0.601869313
9/25/2013,0.608493235
9/26/2013,0.615117156
9/27/2013,0.621741078
9/28/2013,0.628364999
9/29/2013,0.634988921
9/30/2013,0.641612842
10/1/2013,0.648236764
10/2/2013,0.651002371
10/3/2013,0.653767978
10/4/2013,0.656533585
10/5/2013,0.659299192
10/6/2013,0.662064799
10/7/2013,0.664830406
10/8/2013,0.667596013
10/9/2013,0.67036162
10/10/2013,0.673127227
10/11/2013,0.675892834
10/12/2013,0.678658441
10/13/2013,0.681424048
10/14/2013,0.684189655
10/15/2013,0.686955262
10/16/2013,0.689720869
10/17/2013,0.692486476
10/18/2013,0.695252083
10/19/2013,0.69801769
10/20/2013,0.700783297
10/21/2013,0.703548904
10/22/2013,0.706314511
10/23/2013,0.709080118
10/24/2013,0.711845725
10/25/2013,0.714611332
10/26/2013,0.717376939
10/27/2013,0.720142546
10/28/2013,0.722908153
10/29/2013,0.72567376
10/30/2013,0.728439367
10/31/2013,0.731204974
11/1/2013,0.733970581
11/2/2013,0.737768139
11/3/2013,0.741565697
11/4/2013,0.745363255
11/5/2013,0.749160813
11/6/2013,0.752958371
11/7/2013,0.756755929
11/8/2013,0.760553486
11/9/2013,0.764351044
11/10/2013,0.768148602
11/11/2013,0.77194616
11/12/2013,0.775743718
11/13/2013,0.779541276
11/14/2013,0.783338834
11/15/2013,0.787136391
11/16/2013,0.790933949
11/17/2013,0.794731507
11/18/2013,0.798529065
11/19/2013,0.802326623
11/20/2013,0.806124181
11/21/2013,0.809921739
11/22/2013,0.813719297
11/23/2013,0.817516854
11/24/2013,0.821314412
11/25/2013,0.82511197
11/26/2013,0.828909528
11/27/2013,0.832707086
11/28/2013,0.836504644
11/29/2013,0.840302202
11/30/2013,0.84409976
12/1/2013,0.847897317
12/2/2013,0.850378608
12/3/2013,0.852859898
12/4/2013,0.855341188
12/5/2013,0.857822478
12/6/2013,0.860303768
12/7/2013,0.862785058
12/8/2013,0.865266348
12/9/2013,0.867747639
12/10/2013,0.870228929
12/11/2013,0.872710219
