uniform_date,21_d_MA,raw_sales
10/4/2012,23311.43507,13250.07846
10/5/2012,23462.33186,20944.11485
10/6/2012,23426.59159,0
10/7/2012,24206.22995,0
10/8/2012,20854.17521,40405.67531
10/9/2012,20976.28373,37123.74338
10/10/2012,20976.28373,19189.08215
10/11/2012,20976.28373,15240.62523
10/12/2012,21230.40576,19154.65069
10/13/2012,21770.20786,0
10/14/2012,23775.53675,0
10/15/2012,25363.76817,25312.20423
10/16/2012,26671.99485,26799.39977
10/17/2012,26671.99485,36973.35254
10/18/2012,26671.99485,27756.02238
10/19/2012,24812.48125,46016.23954
10/20/2012,22723.26625,0
10/21/2012,21643.36119,0
10/22/2012,23252.08115,21408.35231
10/23/2012,23457.67718,23979.04592
10/24/2012,23457.67718,48920.41238
10/25/2012,23457.67718,41471.72908
10/26/2012,24255.58856,44190.29677
10/27/2012,24056.20535,0
10/28/2012,23110.68065,0
10/29/2012,23841.22741,7363.548769
10/30/2012,21939.47185,0
10/31/2012,21939.47185,0
11/1/2012,21939.47185,43826.34138
11/2/2012,22171.34252,22807.93408
11/3/2012,22186.04736,0
11/4/2012,20092.70139,0
11/5/2012,18956.65755,39490.47577
11/6/2012,17742.10779,23256.51331
11/7/2012,17742.10779,20172.10592
11/8/2012,17742.10779,40737.27638
11/9/2012,20018.1702,12223.50615
11/10/2012,21239.77061,0
11/11/2012,24229.93875,0
11/12/2012,21763.52127,25528.51569
11/13/2012,20519.38687,24240.33977
11/14/2012,20519.38687,11723.26469
11/15/2012,20519.38687,21285.10408
11/16/2012,19608.42611,22608.68169
11/17/2012,20197.75173,0
11/18/2012,21632.83033,0
11/19/2012,20047.54682,47807.42692
11/20/2012,24980.08821,21706.89954
11/21/2012,24980.08821,53132.98792
11/22/2012,24980.08821,0
11/23/2012,25100.00254,700.6226923
11/24/2012,25955.3525,0
11/25/2012,26850.01928,0
11/26/2012,26893.72052,23303.40385
11/27/2012,26491.30338,33728.37615
11/28/2012,26491.30338,45672.34877
